PLACED_edges_TMP	Freq	Assembler
45S	2	Canu-Arrow
5S	5	Canu-Arrow
centromere	20	Canu-Arrow
telomere	9	Canu-Arrow
NA	2	Canu-Arrow
45S	4	Hifiasm
ClassI_LTR	7	Hifiasm
ClassII_Helitrons	3	Hifiasm
ClassII_TIR	2	Hifiasm
repeat_region	1	Hifiasm
telomere	7	Hifiasm
NA	14	Hifiasm
45S	2	HiCanu
ClassI_LTR	5	HiCanu
ClassII_Helitrons	3	HiCanu
ClassII_TIR	5	HiCanu
repeat_region	1	HiCanu
telomere	8	HiCanu
NA	16	HiCanu
45S	2	FALCON-Racon
5S	4	FALCON-Racon
centromere	2	FALCON-Racon
ClassI_LTR	3	FALCON-Racon
ClassII_Helitrons	7	FALCON-Racon
ClassII_TIR	2	FALCON-Racon
repeat_region	2	FALCON-Racon
telomere	6	FALCON-Racon
NA	12	FALCON-Racon
45S	2	Peregrine
5S	3	Peregrine
centromere	89	Peregrine
chloroplast	2	Peregrine
ClassI_LTR	4	Peregrine
ClassII_Helitrons	4	Peregrine
ClassII_TIR	1	Peregrine
mitochondria	2	Peregrine
repeat_region	4	Peregrine
telomere	7	Peregrine
NA	10	Peregrine
45S	2	IPA
5S	3	IPA
centromere	37	IPA
ClassI_LTR	5	IPA
ClassII_Helitrons	5	IPA
ClassII_TIR	3	IPA
mitochondria	2	IPA
repeat_region	4	IPA
telomere	7	IPA
NA	18	IPA
