UNPLACED_edges_TMP	Freq	Assembler
45S	53	Canu-Arrow
5S	13	Canu-Arrow
ClassII_Helitrons	1	Canu-Arrow
ClassII_TIR	1	Canu-Arrow
ClassI_LTR	2	Canu-Arrow
centromere	43	Canu-Arrow
chloroplast	132	Canu-Arrow
mitochondria	4	Canu-Arrow
repeat_region	10	Canu-Arrow
telomere	1	Canu-Arrow
NA	6	Canu-Arrow
45S	286	Hifiasm
ClassI_LTR	4	Hifiasm
chloroplast	1147	Hifiasm
mitochondria	224	Hifiasm
repeat_region	15	Hifiasm
NA	4	Hifiasm
45S	1148	HiCanu
5S	20	HiCanu
ClassII_Helitrons	50	HiCanu
ClassII_TIR	12	HiCanu
ClassI_LTR	57	HiCanu
centromere	33	HiCanu
chloroplast	3107	HiCanu
mitochondria	95	HiCanu
repeat_region	25	HiCanu
telomere	5	HiCanu
NA	234	HiCanu
45S	109	FALCON-Racon
5S	1	FALCON-Racon
ClassII_Helitrons	4	FALCON-Racon
ClassI_LTR	1	FALCON-Racon
centromere	8	FALCON-Racon
chloroplast	92	FALCON-Racon
mitochondria	8	FALCON-Racon
NA	7	FALCON-Racon
45S	391	Peregrine
5S	264	Peregrine
ClassII_Helitrons	3	Peregrine
ClassII_TIR	1	Peregrine
ClassI_LTR	68	Peregrine
centromere	1871	Peregrine
chloroplast	5013	Peregrine
mitochondria	822	Peregrine
repeat_region	44	Peregrine
NA	51	Peregrine
45S	2	IPA
5S	2	IPA
ClassII_Helitrons	1	IPA
centromere	70	IPA
chloroplast	1	IPA
mitochondria	4	IPA
NA	2	IPA
