# BUSCO version is: 3.0.2 
# The lineage dataset is: embryophyta_odb10 (Creation date: 2017-12-01, number of species: 60, number of BUSCOs: 1375)
# To reproduce this run: python /ebio/abt6_projects8/alopecurus_genome/bin/anaconda2/envs/busco/bin/run_BUSCO.py -i /tmp/global2/frabanal/Ath_CLR_vs_HiFi/data/patch/3_Merqury_BUSCO/9994.Hifiasm_Canu-Arrow.patch/9994.Hifiasm_Canu-Arrow.patch.contigs.fa -o 9994.Hifiasm_Canu-Arrow.patch.embryophyta_odb10 -l /ebio/abt6_projects8/alopecurus_genome/bin/anaconda2/envs/busco/db/embryophyta_odb10/ -m genome -c 24 -sp arabidopsis
#
# Busco id	Status	Contig	Start	End	Score	Length
10018	Complete	Chr4	20372273	20375820	446.3	365
10022	Complete	Chr5	5671214	5677292	994.1	652
10035	Complete	Chr2	10327303	10331501	879.5	540
10044	Complete	Chr2	850588	854261	822.2	434
10071	Complete	Chr2	9797876	9800404	790.0	524
10085	Complete	Chr5	24691775	24696792	1025.5	508
10090	Complete	Chr4	12104757	12108586	785.5	451
101	Complete	Chr3	23477480	23486761	1786.4	1044
10104	Complete	Chr4	12948318	12952967	959.4	588
10114	Complete	Chr1	5678951	5682423	636.4	417
10211	Complete	Chr2	19362274	19365725	692.0	444
10217	Complete	Chr2	16077935	16080400	846.2	498
10261	Complete	Chr3	10789515	10791959	714.0	406
10378	Complete	Chr1	32902489	32906317	944.3	494
10409	Complete	Chr1	31378972	31382670	914.4	545
10436	Complete	Chr3	24176558	24181566	969.0	595
10521	Complete	Chr5	24491326	24495645	984.9	627
1058	Complete	Chr5	30051352	30056271	1415.5	963
10633	Complete	Chr5	6145968	6149164	832.1	445
10647	Complete	Chr5	353573	355487	595.7	337
10668	Complete	Chr5	21202279	21206283	838.3	511
10691	Complete	Chr3	6423939	6428643	743.9	408
10702	Complete	Chr2	12558640	12561956	758.7	412
10719	Complete	Chr4	9869378	9872477	661.9	409
10729	Complete	Chr4	12417526	12420270	820.9	500
1077	Complete	Chr5	25093999	25099928	1143.3	822
10780	Complete	Chr5	19592482	19594935	1127.3	552
10785	Complete	Chr4	18284077	18295851	1971.8	1658
10792	Complete	Chr5	6579405	6584051	1070.0	541
10805	Complete	Chr1	3494635	3497089	883.2	484
10886	Complete	Chr1	31706279	31709083	1000.9	541
10892	Complete	Chr3	3901419	3905751	877.4	454
10897	Complete	Chr4	16588228	16593992	1488.3	894
1090	Complete	Chr5	4845256	4850051	1665.6	909
10917	Complete	Chr1	6102073	6108486	951.0	563
10927	Complete	Chr5	30618999	30621893	983.7	501
10931	Complete	Chr3	3963998	3966759	615.2	386
10934	Complete	Chr3	5865361	5869492	727.7	485
